id,camo_id,criteria_order,criteria_text,weapon_id
1,49,1,Reach Max Level with the M15 Mod 0,1
2,49,2,Enter Weapon Prestige 1,1
3,50,1,Reach Max Level with the M15 Mod 0,1
4,50,2,Enter Weapon Prestige 2,1
5,51,1,Reach Weapon Prestige Master Level 100 with the M15 Mod 0,1
6,52,1,Reach Weapon Prestige Master Level 150 with the M15 Mod 0,1
7,53,1,Reach Weapon Prestige Master Level 200 with the M15 Mod 0,1
8,54,1,Reach Weapon Prestige Master Level 250 with the M15 Mod 0,1
9,1,1,Get 25 Critical Kills,1
10,2,1,Get 50 Critical Kills,1
11,3,1,Get 100 Critical Kills,1
12,4,1,Get 150 Critical Kills,1
13,5,1,Get 200 Critical Kills,1
14,6,1,Get 250 Critical Kills,1
15,7,1,Get 300 Critical Kills,1
16,8,1,Get 400 Critical Kills,1
17,9,1,Get 500 Critical Kills,1
18,10,1,Unlock all Co-Op Campaign Military Camos,1
19,10,2,Kill 50 Kills shortly after sprinting.,1
20,11,1,Unlock all Co-Op Campaign Camos,1
21,11,2,With a 4.0x or higher magnification scope equipped get 100 Eliminations,1
22,12,1,Unlock all Co-Op Campaign Camos,1
23,12,2,Eliminate 100 Fear enemies,1
24,13,1,Unlock all Co-Op Campaign Special Camos,1
25,13,2,Eliminate 20 Special enemies,1
26,14,1,Unlock Molten Gold Camo,1
27,14,2,Unlock Molten Gold Camo on 6 Assault Rifles,1
28,14,3,In Endgame: eliminate 100 Zone III or Zone IV enemies,1
29,15,1,Unlock Moonstone Camo,1
30,15,2,Unlock Moonstone Camo on 30 Weapons,1
31,15,3,Eliminate 10 Elite enemies,1
32,16,1,Unlock Chroma Flux Camo,1
33,16,2,Unlock Chroma Flux Camo on 30 Weapons,1
34,17,1,Get 5 Headshots,1
35,18,1,Get 10 Headshots,1
36,19,1,Get 20 Headshots,1
37,20,1,Get 30 Headshots,1
38,21,1,Get 40 Headshots,1
39,22,1,Get 50 Headshots,1
40,23,1,Get 60 Headshots,1
41,24,1,Get 70 Headshots,1
42,25,1,Get 80 Headshots,1
43,26,1,Unlock all Multiplayer Military Camos for the M15 Mod 0,1
44,26,2,Get 50 Kills while moving,1
45,27,1,Unlock all Multiplayer Military Camos Camos,1
46,27,2,Get 40 Objective Kills,1
47,28,1,Unlock all Multiplayer Military Camos,1
48,28,2,Get 20 Kills with an Underbarrel Launcher Attachment equipped,1
49,29,1,Unlock all Multiplayer Special Camos for the M15 Mod 0,1
50,29,2,Get 3 Kills without dying 10 times,1
51,30,1,Unlock Shattered Gold Camo,1
52,30,2,Unlock Shattered Gold Camo on 6 Assault Rifles,1
53,30,3,Get 10 Double Kills or better,1
54,31,1,Unlock Arclight Camo,1
55,31,2,Unlock Arclight Camo on 30 Weapons,1
56,31,3,Get 5 Kills without dying 3 times,1
57,32,1,Unlock Tempest Camo on 30 Weapons,1
58,33,1,Get 50 Critical Kills,1
59,34,1,Get 100 Critical Kills,1
60,35,1,Get 200 Critical Kills,1
61,36,1,Get 300 Critical Kills,1
62,37,1,Get 400 Critical Kills,1
63,38,1,Get 500 Critical Kills,1
64,39,1,Get 650 Critical Kills,1
65,40,1,Get 800 Critical Kills,1
